id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
943,54,Female,140081,100,1,25,Automotive & Mobility Technologies,30.51
944,47,Other,37014,76,5,34,Automotive & Mobility Technologies,880.18
945,65,Male,42779,81,5,38,Mobile & Personal Devices,594.92
946,59,Male,149936,80,7,37,Home Entertainment,406.6
947,60,Other,111493,40,10,8,Home Entertainment,190.34
948,21,Other,117520,34,3,32,Home Appliances,256.98
949,62,Other,128667,37,5,17,Home Appliances,150.62
950,45,Other,114390,38,3,9,Home Entertainment,663.25
951,41,Other,134487,7,10,50,Automotive & Mobility Technologies,556.1
952,29,Female,45164,54,8,45,Home Entertainment,915.62
953,51,Male,104830,43,9,36,Home Appliances,593.92
954,44,Male,123822,20,4,8,Automotive & Mobility Technologies,209.75
955,30,Male,50661,89,9,22,Home Appliances,630.37
956,60,Other,48802,68,1,40,Home Entertainment,296.76
957,60,Female,56429,69,9,32,Home Entertainment,894.95
958,26,Female,41126,37,9,44,Mobile & Personal Devices,100.64
959,38,Female,99054,59,6,4,Home Entertainment,174.22
960,61,Female,50349,76,9,42,Mobile & Personal Devices,957.5
961,23,Female,60808,96,2,12,Business Solutions,231.03
962,60,Male,98537,71,9,45,Home Entertainment,725.67
963,66,Female,72885,1,9,33,Home Entertainment,654.48
964,26,Other,109221,91,2,44,Home Appliances,660.05
965,49,Other,94218,4,10,5,Automotive & Mobility Technologies,287.36
966,58,Other,133888,92,10,14,Business Solutions,628.3
967,46,Female,67361,80,6,25,Home Appliances,350.08
968,23,Female,74773,16,2,42,Home Entertainment,626.05
969,61,Other,38209,79,8,40,Home Appliances,724.23
970,68,Female,40471,28,3,33,Home Entertainment,40.89
971,58,Female,51913,14,4,21,Business Solutions,733.63
972,41,Male,120294,79,5,44,Mobile & Personal Devices,942.03
973,43,Male,130645,34,10,5,Home Entertainment,833.69
974,48,Other,75118,84,6,41,Automotive & Mobility Technologies,711.37
975,49,Female,79546,26,5,12,Business Solutions,935.73
976,30,Male,54930,12,9,13,Automotive & Mobility Technologies,724.88
977,37,Male,100314,71,5,19,Home Entertainment,692.74
978,45,Female,91381,48,8,16,Home Appliances,253.13
979,66,Female,74055,100,6,17,Home Appliances,318.7
980,45,Female,135047,11,9,42,Mobile & Personal Devices,422.93
981,30,Male,117373,32,1,49,Business Solutions,129.35
982,59,Other,87884,79,9,28,Home Entertainment,491.55
983,68,Female,117203,76,7,38,Automotive & Mobility Technologies,363.94
984,51,Other,91682,27,9,49,Automotive & Mobility Technologies,990.87
985,35,Other,82057,66,4,9,Home Appliances,683.93
986,66,Other,78149,2,10,9,Business Solutions,579.27
987,22,Male,80049,1,10,47,Home Appliances,16.97
988,26,Male,148451,78,5,14,Home Entertainment,99.19
989,26,Male,45147,93,1,32,Business Solutions,750.58
990,31,Other,45695,36,2,31,Automotive & Mobility Technologies,864.67
991,21,Other,80264,41,4,26,Home Appliances,458.93
992,53,Other,83578,97,5,50,Home Appliances,917.08
993,22,Female,125479,57,8,27,Business Solutions,139.75
994,29,Female,64799,42,5,19,Automotive & Mobility Technologies,967.26
995,60,Male,71923,25,2,40,Mobile & Personal Devices,986.97
996,57,Male,112170,57,6,1,Mobile & Personal Devices,313.64
997,23,Other,65337,76,10,23,Home Entertainment,632.83
998,23,Male,113097,40,5,42,Home Appliances,75.09
999,22,Female,113695,63,7,44,Automotive & Mobility Technologies,505.16
1000,36,Female,90420,7,2,31,Home Entertainment,669.26
